,id,coco_url,caption_0,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6
0,139,http://images.cocodataset.org/val2017/000000000139.jpg,A woman stands in the dining area at the table.,A living area with a television and a table,A woman standing in a kitchen by a window,"A room with chairs, a table, and a woman in it.",A person standing at a table in a room.,,
1,285,http://images.cocodataset.org/val2017/000000000285.jpg,Closeup of a brown bear sitting in a grassy area.,A close up picture of a brown bear's face.,A big burly grizzly bear is show with grass in the background.,The large brown bear has a black nose.,A large bear that is sitting on grass. ,,
2,632,http://images.cocodataset.org/val2017/000000000632.jpg,A bedroom with a bookshelf full of books.,a bed room with a neatly made bed a window and a book shelf,This room has a bed with blue sheets and a large bookcase,"Bedroom scene with a bookcase, blue comforter and window.",A bed and a mirror in a small room.,,
3,724,http://images.cocodataset.org/val2017/000000000724.jpg,A stop sign installed upside down on a street corner,a stop sign put upside down on a metal pole ,A stop sign that is hanging upside down.,A stop sign is mounted upside-down on it's post. ,An upside down stop sign by the road.,,
4,776,http://images.cocodataset.org/val2017/000000000776.jpg,Three stuffed bears hugging and sitting on a blue pillow,"Three teddy bears, each a different color, snuggling together.",Three stuffed animals are sitting on a bed. ,three teddy bears giving each other a hug,A group of three stuffed animal teddy bears.,,
5,785,http://images.cocodataset.org/val2017/000000000785.jpg,a person on skis makes her way through the snow,A woman in a red jacket skiing down a slope,a woman standing on skiis while posing for the camera,A young woman is skiing down the mountain slope. ,A woman posing for the camera standing on skis.,,
6,802,http://images.cocodataset.org/val2017/000000000802.jpg,The refrigerator is brand new and was delivered today.,Stark white appliances stand out against brown wooden cabinets.,Kitchen appliances and cabinets as seen through opening.,"A kitchen with a refrigerator, stove and oven with cabinets.",A white oven and a white refrigerator are in the kitchen.,,
7,872,http://images.cocodataset.org/val2017/000000000872.jpg,A couple of men play baseball and the batter runs for base.,Two men playing baseball in a field on a sunny day.,"Two guys playing baseball, with trees in the back.",two baseball players are playing baseball on a field,A couple of baseball player standing on a field.,,
8,885,http://images.cocodataset.org/val2017/000000000885.jpg,Someone playing in a tennis tournament with a crowd looking on.,The man balances on one leg after serving a tennis ball.,a male tennis player in white shorts is playing tennis,A man holding a tennis racket playing tennis.,This woman has just returned a volley in tennis,,
9,1000,http://images.cocodataset.org/val2017/000000001000.jpg,A group of young children standing next to each other.,a large family poses for picture on tennis court,The people are posing for a group photo.,A group of kids posing for a picture on a tennis court.,A group of people that are standing near a tennis net.,,
10,1268,http://images.cocodataset.org/val2017/000000001268.jpg,The woman is taking a photo of the white goose next to the river.,A girl is taking a picture of people fishing.,People underneath an arched bridge near the water.,A waterway under a bridge with people sitting down and a woman taking a photo.,A beautiful woman taking a picture with her smart phone.,,
11,1296,http://images.cocodataset.org/val2017/000000001296.jpg,A woman holding a Hello Kitty phone on her hands.,A woman holds up her phone in front of her face.,A woman in white shirt holding up a cellphone.,A woman checking her cell phone with a hello kitty case.,The Asian girl is holding her Miss Kitty phone,,
12,1353,http://images.cocodataset.org/val2017/000000001353.jpg,The children are riding on an indoor train. ,A group of children ride on an indoor train.,Several children on a small  indoor kiddie train.,Several children are riding on a toy train ride.,some children are riding on a mini orange train,,
13,1425,http://images.cocodataset.org/val2017/000000001425.jpg,A meal is lying on a plate on a table.,part of a sandwich sitting on a table,A plate with a burger that is halfway eaten. ,A half eaten meal sitting on a plate.,A sandwich with a bite taken on a plate.,,
14,1490,http://images.cocodataset.org/val2017/000000001490.jpg,"Black and white of a person wearing a wetsuit standing on a surfboard and holding out a paddle, in a large body of water outside.",A man is holding a long racquet on a surfboard in the middle of the sea.,A man in a wet suit stands on a surfboard and rows with a paddle.,"A paddle boarder on a large, still body of water.",A man with a wet suit on standing on a surfboard in the water.,,
15,1503,http://images.cocodataset.org/val2017/000000001503.jpg,A picture of an iMac desktop next to a Mac laptop on a desk. ,A laptop and desktop computer on a white desk,A computer on a desk next to a laptop.,A computer desk with several pieces of computer equipment.,Two apple computers are on a white desk,,
